state_and_capital,geo_zone,date,average_price
Abia,South East,2019-01-01,236.944444444444
Abia,South East,2019-02-01,236.416666666667
Abia,South East,2019-03-01,238.571428571429
Abia,South East,2019-04-01,240.1
Abia,South East,2019-05-01,235
Abia,South East,2019-06-01,235.55555555555554
Abia,South East,2019-07-01,229.6153846153846
Abia,South East,2019-08-01,228.46
Abia,South East,2019-09-01,228.75
Abia,South East,2019-10-01,243.33333333333334
Abia,South East,2019-11-01,230
Abia,South East,2019-12-01,239.230769230769
Abia,South East,2020-01-01,231.071428571429
Abia,South East,2020-02-01,222.5
Abia,South East,2020-03-01,228.88888888888889
Abia,South East,2020-04-01,224.58333333333334
Abia,South East,2020-05-01,219.64285714285714
Abia,South East,2020-06-01,220
Abia,South East,2020-07-01,212.30769230769232
Abia,South East,2020-08-01,214.58333333333334
Abia,South East,2020-09-01,240.714285714286
Abia,South East,2020-10-01,229.583333333333
Abia,South East,2020-11-01,248.75
Abia,South East,2020-12-01,230
Abia,South East,2021-01-01,220
Abia,South East,2021-02-01,214.28571428571428
Abia,South East,2021-03-01,233.33333333333334
Abia,South East,2021-04-01,236
Abia,South East,2021-05-01,225
Abia,South East,2021-06-01,238.46153846153845
Abia,South East,2021-07-01,274.25
Abia,South East,2021-08-01,295.583333333333
Abia,South East,2021-09-01,262.85714285714283
Abia,South East,2021-10-01,268
Abia,South East,2021-11-01,274.2857142857143
Abia,South East,2021-12-01,258.3333333333333
Abia,South East,2022-01-01,300.8333333333333
Abia,South East,2022-02-01,310.5
Abia,South East,2022-03-01,645
Abia,South East,2022-04-01,637.5
Abia,South East,2022-05-01,634.6153846153846
Abia,South East,2022-06-01,703.3333333333334
Abia,South East,2022-07-01,782.307692307692
Abia,South East,2022-08-01,785.333333333333
Abia,South East,2022-09-01,784.583333333333
Abia,South East,2022-10-01,800
Abia,South East,2022-11-01,807
Abia,South East,2022-12-01,809.5
Abia,South East,2023-01-23,806.6666666666666
Abia,South East,2023-02-23,808.769230769231
Abia,South East,2023-03-23,808.886153846154
Abia,South East,2023-04-23,809.886153846154
Abia,South East,2023-05-23,798.571428571429
Abia,South East,2023-06-23,797.833333333333
Abuja,North Central,2019-01-01,232
Abuja,North Central,2019-02-01,231.25
Abuja,North Central,2019-03-01,229
Abuja,North Central,2019-04-01,231.05
Abuja,North Central,2019-05-01,230
Abuja,North Central,2019-06-01,239
Abuja,North Central,2019-07-01,228.75
Abuja,North Central,2019-08-01,218.75
Abuja,North Central,2019-09-01,218.75
Abuja,North Central,2019-10-01,225
Abuja,North Central,2019-11-01,223
Abuja,North Central,2019-12-01,231.25
Abuja,North Central,2020-01-01,231
Abuja,North Central,2020-02-01,231.25
Abuja,North Central,2020-03-01,217
Abuja,North Central,2020-04-01,217
Abuja,North Central,2020-05-01,225.79471519311397
Abuja,North Central,2020-06-01,229
Abuja,North Central,2020-07-01,235
Abuja,North Central,2020-08-01,227
Abuja,North Central,2020-09-01,234
Abuja,North Central,2020-10-01,232
Abuja,North Central,2020-11-01,237
Abuja,North Central,2020-12-01,225
Abuja,North Central,2021-01-01,242
Abuja,North Central,2021-02-01,246
Abuja,North Central,2021-03-01,239
Abuja,North Central,2021-04-01,238.33333333333334
Abuja,North Central,2021-05-01,255
Abuja,North Central,2021-06-01,246
Abuja,North Central,2021-07-01,251
Abuja,North Central,2021-08-01,250
Abuja,North Central,2021-09-01,280
Abuja,North Central,2021-10-01,267
Abuja,North Central,2021-11-01,301
Abuja,North Central,2021-12-01,277.5
Abuja,North Central,2022-01-01,286.25
Abuja,North Central,2022-02-01,305.5
Abuja,North Central,2022-03-01,525
Abuja,North Central,2022-04-01,706
Abuja,North Central,2022-05-01,705
Abuja,North Central,2022-06-01,745
Abuja,North Central,2022-07-01,800
Abuja,North Central,2022-08-01,845
Abuja,North Central,2022-09-01,816
Abuja,North Central,2022-10-01,818
Abuja,North Central,2022-11-01,820
Abuja,North Central,2022-12-01,821.666666666667
Abuja,North Central,2023-01-23,855
Abuja,North Central,2023-02-23,885
Abuja,North Central,2023-03-23,889.444444444444
Abuja,North Central,2023-04-23,869.444444444444
Abuja,North Central,2023-05-23,850
Abuja,North Central,2023-06-23,846.666666666667
Adamawa,North East,2019-01-01,197.5
Adamawa,North East,2019-02-01,204.375
Adamawa,North East,2019-03-01,226.25
Adamawa,North East,2019-04-01,224.5
Adamawa,North East,2019-05-01,245.625
Adamawa,North East,2019-06-01,210
Adamawa,North East,2019-07-01,220
Adamawa,North East,2019-08-01,235.62
Adamawa,North East,2019-09-01,225.167044601131
Adamawa,North East,2019-10-01,206.66666666666666
Adamawa,North East,2019-11-01,219.2179773537803
Adamawa,North East,2019-12-01,233.333333333333
Adamawa,North East,2020-01-01,231.11111111111111
Adamawa,North East,2020-02-01,228.33333333333334
Adamawa,North East,2020-03-01,226.666666666667
Adamawa,North East,2020-04-01,225.28334602686496
Adamawa,North East,2020-05-01,220.85714285714286
Adamawa,North East,2020-06-01,246
Adamawa,North East,2020-07-01,236.326135325379
Adamawa,North East,2020-08-01,246
Adamawa,North East,2020-09-01,243.310898991839
Adamawa,North East,2020-10-01,225
Adamawa,North East,2020-11-01,237.5
Adamawa,North East,2020-12-01,262.5
Adamawa,North East,2021-01-01,268.333333333333
Adamawa,North East,2021-02-01,263.3333333333333
Adamawa,North East,2021-03-01,241.264802817814
Adamawa,North East,2021-04-01,235
Adamawa,North East,2021-05-01,242.42857142857142
Adamawa,North East,2021-06-01,256
Adamawa,North East,2021-07-01,275
Adamawa,North East,2021-08-01,261.25
Adamawa,North East,2021-09-01,270
Adamawa,North East,2021-10-01,250.5
Adamawa,North East,2021-11-01,285
Adamawa,North East,2021-12-01,282.5
Adamawa,North East,2022-01-01,282.5
Adamawa,North East,2022-02-01,307.333333333333
Adamawa,North East,2022-03-01,544
Adamawa,North East,2022-04-01,686.666666666667
Adamawa,North East,2022-05-01,700
Adamawa,North East,2022-06-01,766.666666666667
Adamawa,North East,2022-07-01,775
Adamawa,North East,2022-08-01,790
Adamawa,North East,2022-09-01,733.3333333333334
Adamawa,North East,2022-10-01,783.333333333333
Adamawa,North East,2022-11-01,792.5
Adamawa,North East,2022-12-01,833.333333333333
Adamawa,North East,2023-01-23,866.66666666667
Adamawa,North East,2023-02-23,873.333333333333
Adamawa,North East,2023-03-23,880.333333333333
Adamawa,North East,2023-04-23,980.333333333333
Adamawa,North East,2023-05-23,970
Adamawa,North East,2023-06-23,875.666666666667
Akwa Ibom,South South,2019-01-01,227.27272727272728
Akwa Ibom,South South,2019-02-01,215
Akwa Ibom,South South,2019-03-01,223
Akwa Ibom,South South,2019-04-01,226.2
Akwa Ibom,South South,2019-05-01,230
Akwa Ibom,South South,2019-06-01,222
Akwa Ibom,South South,2019-07-01,219.833333333333
Akwa Ibom,South South,2019-08-01,233.33
Akwa Ibom,South South,2019-09-01,232.5
Akwa Ibom,South South,2019-10-01,230
Akwa Ibom,South South,2019-11-01,218.1818181818182
Akwa Ibom,South South,2019-12-01,217.72727272727272
Akwa Ibom,South South,2020-01-01,228.75
Akwa Ibom,South South,2020-02-01,223.1818181818182
Akwa Ibom,South South,2020-03-01,236.666666666667
Akwa Ibom,South South,2020-04-01,230.55555555555554
Akwa Ibom,South South,2020-05-01,226.25
Akwa Ibom,South South,2020-06-01,235.3846153846154
Akwa Ibom,South South,2020-07-01,232.727272727273
Akwa Ibom,South South,2020-08-01,231.66666666666666
Akwa Ibom,South South,2020-09-01,230.41666666666666
Akwa Ibom,South South,2020-10-01,225
Akwa Ibom,South South,2020-11-01,231.66666666666666
Akwa Ibom,South South,2020-12-01,238.63636363636363
Akwa Ibom,South South,2021-01-01,236.5
Akwa Ibom,South South,2021-02-01,242
Akwa Ibom,South South,2021-03-01,244.44444444444446
Akwa Ibom,South South,2021-04-01,246.66666666666666
Akwa Ibom,South South,2021-05-01,251.66666666666666
Akwa Ibom,South South,2021-06-01,253.63636363636363
Akwa Ibom,South South,2021-07-01,245
Akwa Ibom,South South,2021-08-01,264.54545454545456
Akwa Ibom,South South,2021-09-01,266.6666666666667
Akwa Ibom,South South,2021-10-01,260
Akwa Ibom,South South,2021-11-01,272.72727272727275
Akwa Ibom,South South,2021-12-01,281.8181818181818
Akwa Ibom,South South,2022-01-01,292
Akwa Ibom,South South,2022-02-01,310
Akwa Ibom,South South,2022-03-01,570
Akwa Ibom,South South,2022-04-01,703
Akwa Ibom,South South,2022-05-01,702.2
Akwa Ibom,South South,2022-06-01,709
Akwa Ibom,South South,2022-07-01,726.6666666666666
Akwa Ibom,South South,2022-08-01,731.818181818182
Akwa Ibom,South South,2022-09-01,732.777777777778
Akwa Ibom,South South,2022-10-01,748.181818181818
Akwa Ibom,South South,2022-11-01,750
Akwa Ibom,South South,2022-12-01,773.75
Akwa Ibom,South South,2023-01-23,788.75
Akwa Ibom,South South,2023-02-23,862.5
Akwa Ibom,South South,2023-03-23,864
Akwa Ibom,South South,2023-04-23,874
Akwa Ibom,South South,2023-05-23,863.333333333333
Akwa Ibom,South South,2023-06-23,857.272727272727
Anambra,South East,2019-01-01,236.5
Anambra,South East,2019-02-01,231.333333333333
Anambra,South East,2019-03-01,231.42857142857142
Anambra,South East,2019-04-01,238.15
Anambra,South East,2019-05-01,230
Anambra,South East,2019-06-01,220.45454545454547
Anambra,South East,2019-07-01,230.07692307692307
Anambra,South East,2019-08-01,227.72
Anambra,South East,2019-09-01,225
Anambra,South East,2019-10-01,228.46153846153845
Anambra,South East,2019-11-01,221.66666666666666
Anambra,South East,2019-12-01,237
Anambra,South East,2020-01-01,225
Anambra,South East,2020-02-01,223.23529411764707
Anambra,South East,2020-03-01,223.33333333333334
Anambra,South East,2020-04-01,221.42857142857142
Anambra,South East,2020-05-01,214.6153846153846
Anambra,South East,2020-06-01,220.9375
Anambra,South East,2020-07-01,211.25
Anambra,South East,2020-08-01,213.736470489832
Anambra,South East,2020-09-01,206.36363636363637
Anambra,South East,2020-10-01,193.33333333333334
Anambra,South East,2020-11-01,211.07142857142858
Anambra,South East,2020-12-01,203.75
Anambra,South East,2021-01-01,195.83333333333334
Anambra,South East,2021-02-01,212.14285714285714
Anambra,South East,2021-03-01,233.46153846153845
Anambra,South East,2021-04-01,211.92307692307693
Anambra,South East,2021-05-01,228.46153846153845
Anambra,South East,2021-06-01,238.33333333333334
Anambra,South East,2021-07-01,233.66666666666666
Anambra,South East,2021-08-01,214.694411656358
Anambra,South East,2021-09-01,265.38461538461536
Anambra,South East,2021-10-01,247.85714285714286
Anambra,South East,2021-11-01,284.5833333333333
Anambra,South East,2021-12-01,311.25
Anambra,South East,2022-01-01,305
Anambra,South East,2022-02-01,310.333333333333
Anambra,South East,2022-03-01,583
Anambra,South East,2022-04-01,606.0714285714286
Anambra,South East,2022-05-01,642
Anambra,South East,2022-06-01,713.5714285714286
Anambra,South East,2022-07-01,812.6666666666666
Anambra,South East,2022-08-01,826.086956521739
Anambra,South East,2022-09-01,792.6666666666666
Anambra,South East,2022-10-01,783.3333333333334
Anambra,South East,2022-11-01,784
Anambra,South East,2022-12-01,820
Anambra,South East,2023-01-23,856.3157894736842
Anambra,South East,2023-02-23,834.1666666666666
Anambra,South East,2023-03-23,833.555555555556
Anambra,South East,2023-04-23,773.555555555556
Anambra,South East,2023-05-23,775.714285714286
Anambra,South East,2023-06-23,770.777777777778
Bauchi,North East,2019-01-01,214
Bauchi,North East,2019-02-01,220
Bauchi,North East,2019-03-01,229.285714285714
Bauchi,North East,2019-04-01,233.1
Bauchi,North East,2019-05-01,218
Bauchi,North East,2019-06-01,220
Bauchi,North East,2019-07-01,228.75
Bauchi,North East,2019-08-01,231.25
Bauchi,North East,2019-09-01,215.71428571428572
Bauchi,North East,2019-10-01,195
Bauchi,North East,2019-11-01,219.5411779394845
Bauchi,North East,2019-12-01,217.05882352941177
Bauchi,North East,2020-01-01,216.21428571428572
Bauchi,North East,2020-02-01,222
Bauchi,North East,2020-03-01,232
Bauchi,North East,2020-04-01,224.375
Bauchi,North East,2020-05-01,231.42857142857142
Bauchi,North East,2020-06-01,228.88888888888889
Bauchi,North East,2020-07-01,240
Bauchi,North East,2020-08-01,231.25
Bauchi,North East,2020-09-01,223.33333333333334
Bauchi,North East,2020-10-01,242
Bauchi,North East,2020-11-01,231.42857142857142
Bauchi,North East,2020-12-01,227.55555555555554
Bauchi,North East,2021-01-01,232
Bauchi,North East,2021-02-01,237
Bauchi,North East,2021-03-01,257.5
Bauchi,North East,2021-04-01,244.75
Bauchi,North East,2021-05-01,258
Bauchi,North East,2021-06-01,256.42857142857144
Bauchi,North East,2021-07-01,263
Bauchi,North East,2021-08-01,261.25
Bauchi,North East,2021-09-01,245
Bauchi,North East,2021-10-01,252.5
Bauchi,North East,2021-11-01,296.875
Bauchi,North East,2021-12-01,280
Bauchi,North East,2022-01-01,247.5
Bauchi,North East,2022-02-01,275
Bauchi,North East,2022-03-01,408
Bauchi,North East,2022-04-01,550
Bauchi,North East,2022-05-01,570
Bauchi,North East,2022-06-01,650
Bauchi,North East,2022-07-01,750
Bauchi,North East,2022-08-01,800
Bauchi,North East,2022-09-01,832.5
Bauchi,North East,2022-10-01,857.5
Bauchi,North East,2022-11-01,858.666666666667
Bauchi,North East,2022-12-01,860
Bauchi,North East,2023-01-23,900
Bauchi,North East,2023-02-23,904.333333333333
Bauchi,North East,2023-03-23,910.46
Bauchi,North East,2023-04-23,934.46
Bauchi,North East,2023-05-23,940
Bauchi,North East,2023-06-23,840.12
Bayelsa,South South,2019-01-01,212.91666666666666
Bayelsa,South South,2019-02-01,219.75
Bayelsa,South South,2019-03-01,220.166666666667
Bayelsa,South South,2019-04-01,225.05
Bayelsa,South South,2019-05-01,222.72727272727272
Bayelsa,South South,2019-06-01,204.16666666666666
Bayelsa,South South,2019-07-01,195
Bayelsa,South South,2019-08-01,209.64
Bayelsa,South South,2019-09-01,208.33333333333334
Bayelsa,South South,2019-10-01,214.6153846153846
Bayelsa,South South,2019-11-01,210
Bayelsa,South South,2019-12-01,209.16666666666666
Bayelsa,South South,2020-01-01,220.45454545454547
Bayelsa,South South,2020-02-01,217.27272727272728
Bayelsa,South South,2020-03-01,208.63636363636363
Bayelsa,South South,2020-04-01,186.92307692307693
Bayelsa,South South,2020-05-01,208.680226102916
Bayelsa,South South,2020-06-01,210.69230769230768
Bayelsa,South South,2020-07-01,219.36363636363637
Bayelsa,South South,2020-08-01,218.941157839333
Bayelsa,South South,2020-09-01,211.538461538462
Bayelsa,South South,2020-10-01,219.36363636363637
Bayelsa,South South,2020-11-01,207.77777777777777
Bayelsa,South South,2020-12-01,210.83333333333334
Bayelsa,South South,2021-01-01,212.27272727272728
Bayelsa,South South,2021-02-01,210.9090909090909
Bayelsa,South South,2021-03-01,239.16666666666666
Bayelsa,South South,2021-04-01,245.66666666666666
Bayelsa,South South,2021-05-01,228.07692307692307
Bayelsa,South South,2021-06-01,234.6153846153846
Bayelsa,South South,2021-07-01,242.91666666666666
Bayelsa,South South,2021-08-01,237.91666666666666
Bayelsa,South South,2021-09-01,241.07142857142858
Bayelsa,South South,2021-10-01,248.75
Bayelsa,South South,2021-11-01,273.84615384615387
Bayelsa,South South,2021-12-01,317.3333333333333
Bayelsa,South South,2022-01-01,274.64285714285717
Bayelsa,South South,2022-02-01,300
Bayelsa,South South,2022-03-01,485.6666666666667
Bayelsa,South South,2022-04-01,643
Bayelsa,South South,2022-05-01,678.333333333333
Bayelsa,South South,2022-06-01,722.142857142857
Bayelsa,South South,2022-07-01,756.153846153846
Bayelsa,South South,2022-08-01,760.111111111111
Bayelsa,South South,2022-09-01,726.666666666667
Bayelsa,South South,2022-10-01,780.3333333333334
Bayelsa,South South,2022-11-01,785.714285714286
