state_and_capital,geo_zone,item,date,average_price
Abia,South East,Small Cylinder (5KG),2019-01-01,2084.6153846153848
Abia,South East,Small Cylinder (5KG),2019-02-01,2056.25
Abia,South East,Small Cylinder (5KG),2019-03-01,2122.2222222222
Abia,South East,Small Cylinder (5KG),2019-04-01,2166.6666666666665
Abia,South East,Small Cylinder (5KG),2019-05-01,1862.857142857143
Abia,South East,Small Cylinder (5KG),2019-06-01,1911.111111111111
Abia,South East,Small Cylinder (5KG),2019-07-01,1988.888888888889
Abia,South East,Small Cylinder (5KG),2019-08-01,1956.66
Abia,South East,Small Cylinder (5KG),2019-09-01,1885.7142857142858
Abia,South East,Small Cylinder (5KG),2019-10-01,1840
Abia,South East,Small Cylinder (5KG),2019-11-01,1860
Abia,South East,Small Cylinder (5KG),2019-12-01,1984.1444988465546
Abia,South East,Small Cylinder (5KG),2020-01-01,1894
Abia,South East,Small Cylinder (5KG),2020-02-01,1830
Abia,South East,Small Cylinder (5KG),2020-03-01,1910
Abia,South East,Small Cylinder (5KG),2020-04-01,1922.2165945277231
Abia,South East,Small Cylinder (5KG),2020-05-01,1903.1360703143914
Abia,South East,Small Cylinder (5KG),2020-06-01,1906.5317027120886
Abia,South East,Small Cylinder (5KG),2020-07-01,1906.1505810260858
Abia,South East,Small Cylinder (5KG),2020-08-01,1895.7938880636436
Abia,South East,Small Cylinder (5KG),2020-09-01,1894.4176973234207
Abia,South East,Small Cylinder (5KG),2020-10-01,1837
Abia,South East,Small Cylinder (5KG),2020-11-01,1890.6075067295362
Abia,South East,Small Cylinder (5KG),2020-12-01,1878.45454545455
Abia,South East,Small Cylinder (5KG),2021-01-01,1952.30769230769
Abia,South East,Small Cylinder (5KG),2021-02-01,2162.5
Abia,South East,Small Cylinder (5KG),2021-03-01,2110
Abia,South East,Small Cylinder (5KG),2021-04-01,2171.818181818182
Abia,South East,Small Cylinder (5KG),2021-05-01,1985.93741972801
Abia,South East,Small Cylinder (5KG),2021-06-01,2035
Abia,South East,Small Cylinder (5KG),2021-07-01,2150
Abia,South East,Small Cylinder (5KG),2021-08-01,2340.909090909091
Abia,South East,Small Cylinder (5KG),2021-09-01,2028.8309156238408
Abia,South East,Small Cylinder (5KG),2021-10-01,2040.453475067402
Abia,South East,Small Cylinder (5KG),2021-11-01,3711.1111111111113
Abia,South East,Small Cylinder (5KG),2021-12-01,3770.3924201869
Abia,South East,Small Cylinder (5KG),2022-01-01,3845.8333333333335
Abia,South East,Small Cylinder (5KG),2022-02-01,3900
Abia,South East,Small Cylinder (5KG),2022-03-01,3950
Abia,South East,Small Cylinder (5KG),2022-04-01,4177.77777777778
Abia,South East,Small Cylinder (5KG),2022-05-01,4233.33333333333
Abia,South East,Small Cylinder (5KG),2022-06-01,4464.28571428571
Abia,South East,Small Cylinder (5KG),2022-07-01,4555.26315789474
Abia,South East,Small Cylinder (5KG),2022-08-01,4620
Abia,South East,Small Cylinder (5KG),2022-09-01,4044.4444444444443
Abia,South East,Small Cylinder (5KG),2022-10-01,4045.4545454545455
Abia,South East,Small Cylinder (5KG),2022-11-01,4125
Abia,South East,Small Cylinder (5KG),2022-12-01,4196.15384615385
Abia,South East,Small Cylinder (5KG),2023-01-23,4218.15384615385
Abia,South East,Small Cylinder (5KG),2023-02-23,4220
Abia,South East,Small Cylinder (5KG),2023-03-23,4220.15
Abia,South East,Small Cylinder (5KG),2023-04-23,4259.43
Abia,South East,Small Cylinder (5KG),2023-05-23,4050
Abia,South East,Small Cylinder (5KG),2023-06-23,3853.84615384615
Abuja,North Central,Small Cylinder (5KG),2019-01-01,1900
Abuja,North Central,Small Cylinder (5KG),2019-02-01,1900
Abuja,North Central,Small Cylinder (5KG),2019-03-01,1892
Abuja,North Central,Small Cylinder (5KG),2019-04-01,1960
Abuja,North Central,Small Cylinder (5KG),2019-05-01,1675
Abuja,North Central,Small Cylinder (5KG),2019-06-01,1700
Abuja,North Central,Small Cylinder (5KG),2019-07-01,1778.3333333333333
Abuja,North Central,Small Cylinder (5KG),2019-08-01,1739.1666666666665
Abuja,North Central,Small Cylinder (5KG),2019-09-01,1680
Abuja,North Central,Small Cylinder (5KG),2019-10-01,1720
Abuja,North Central,Small Cylinder (5KG),2019-11-01,1760
Abuja,North Central,Small Cylinder (5KG),2019-12-01,1805.4005697858843
Abuja,North Central,Small Cylinder (5KG),2020-01-01,1880
Abuja,North Central,Small Cylinder (5KG),2020-02-01,1780
Abuja,North Central,Small Cylinder (5KG),2020-03-01,1800
Abuja,North Central,Small Cylinder (5KG),2020-04-01,1850
Abuja,North Central,Small Cylinder (5KG),2020-05-01,1860
Abuja,North Central,Small Cylinder (5KG),2020-06-01,1798.3689123683
Abuja,North Central,Small Cylinder (5KG),2020-07-01,1800
Abuja,North Central,Small Cylinder (5KG),2020-08-01,1780
Abuja,North Central,Small Cylinder (5KG),2020-09-01,1770
Abuja,North Central,Small Cylinder (5KG),2020-10-01,1760
Abuja,North Central,Small Cylinder (5KG),2020-11-01,1796.707817724912
Abuja,North Central,Small Cylinder (5KG),2020-12-01,1820
Abuja,North Central,Small Cylinder (5KG),2021-01-01,1780
Abuja,North Central,Small Cylinder (5KG),2021-02-01,1799.3553437415692
Abuja,North Central,Small Cylinder (5KG),2021-03-01,1800.977757849566
Abuja,North Central,Small Cylinder (5KG),2021-04-01,1940
Abuja,North Central,Small Cylinder (5KG),2021-05-01,1808.2029347408325
Abuja,North Central,Small Cylinder (5KG),2021-06-01,1824.8149818129523
Abuja,North Central,Small Cylinder (5KG),2021-07-01,1806.1481038662955
Abuja,North Central,Small Cylinder (5KG),2021-08-01,1806.66139276362
Abuja,North Central,Small Cylinder (5KG),2021-09-01,2660
Abuja,North Central,Small Cylinder (5KG),2021-10-01,3450
Abuja,North Central,Small Cylinder (5KG),2021-11-01,3412.5
Abuja,North Central,Small Cylinder (5KG),2021-12-01,3650
Abuja,North Central,Small Cylinder (5KG),2022-01-01,3768.75
Abuja,North Central,Small Cylinder (5KG),2022-02-01,3814.6
Abuja,North Central,Small Cylinder (5KG),2022-03-01,3850.60946285169
