state_and_capital,geo_zone,date,average_price
Abia,South East,2019-01-01,144.652173913043
Abia,South East,2019-02-01,145.92857142857142
Abia,South East,2019-03-01,146.12
Abia,South East,2019-04-01,146.28571428571428
Abia,South East,2019-05-01,145.642857142857
Abia,South East,2019-06-01,145.666666666667
Abia,South East,2019-07-01,145.235294117647
Abia,South East,2019-08-01,146.71
Abia,South East,2019-09-01,146.733333333333
Abia,South East,2019-10-01,147.0909090909091
Abia,South East,2019-11-01,150.6875
Abia,South East,2019-12-01,147.33333333333334
Abia,South East,2020-01-01,146.13
Abia,South East,2020-02-01,146.866666666667
Abia,South East,2020-03-01,145.909090909091
Abia,South East,2020-04-01,128.125
Abia,South East,2020-05-01,126.33333333333333
Abia,South East,2020-06-01,124.6
Abia,South East,2020-07-01,144.92857142857142
Abia,South East,2020-08-01,152
Abia,South East,2020-09-01,163.30769230769232
Abia,South East,2020-10-01,162
Abia,South East,2020-11-01,178.7
Abia,South East,2020-12-01,176.1875
Abia,South East,2021-01-01,173.75
Abia,South East,2021-02-01,180
Abia,South East,2021-03-01,183.142857142857
Abia,South East,2021-04-01,175.91666666666666
Abia,South East,2021-05-01,171.84615384615384
Abia,South East,2021-06-01,171.875
Abia,South East,2021-07-01,167.04347826086956
Abia,South East,2021-08-01,173.14285714285714
Abia,South East,2021-09-01,172.5
Abia,South East,2021-10-01,170.25
Abia,South East,2021-11-01,178.16666666666666
Abia,South East,2021-12-01,166.33333333333334
Abia,South East,2022-01-01,177.33333333333334
Abia,South East,2022-02-01,178.23076923076923
Abia,South East,2022-03-01,210.307692307692
Abia,South East,2022-04-01,195.27
Abia,South East,2022-05-01,193.2
Abia,South East,2022-06-01,179.66666666666666
Abia,South East,2022-07-01,185.733333333333
Abia,South East,2022-08-01,185
Abia,South East,2022-09-01,187.33
Abia,South East,2022-10-01,186.5625
Abia,South East,2022-11-01,195.22
Abia,South East,2022-12-01,203.636363636364
Abia,South East,2023-01-01,300.692307692308
Abia,South East,2023-02-01,288.57142857142856
Abia,South East,2023-03-01,300.538461538462
Abia,South East,2023-04-01,284.285714285714
Abia,South East,2023-05-01,236.25
Abia,South East,2023-06-01,552.727272727273
Abuja,North Central,2019-01-01,144.2
Abuja,North Central,2019-02-01,144.5
Abuja,North Central,2019-03-01,144
Abuja,North Central,2019-04-01,144.66666666666666
Abuja,North Central,2019-05-01,144
Abuja,North Central,2019-06-01,144.2
Abuja,North Central,2019-07-01,143
Abuja,North Central,2019-08-01,145.33
Abuja,North Central,2019-09-01,143.166666666667
Abuja,North Central,2019-10-01,143.5
Abuja,North Central,2019-11-01,144.2
Abuja,North Central,2019-12-01,143.66666666666666
Abuja,North Central,2020-01-01,144.2
Abuja,North Central,2020-02-01,143.66666666666666
Abuja,North Central,2020-03-01,145
Abuja,North Central,2020-04-01,125
Abuja,North Central,2020-05-01,123.5
Abuja,North Central,2020-06-01,126.6
Abuja,North Central,2020-07-01,144.2
Abuja,North Central,2020-08-01,147.2
Abuja,North Central,2020-09-01,160.25
Abuja,North Central,2020-10-01,159.8
Abuja,North Central,2020-11-01,166.8
Abuja,North Central,2020-12-01,163.5
Abuja,North Central,2021-01-01,163
Abuja,North Central,2021-02-01,163.5
Abuja,North Central,2021-03-01,165.8
Abuja,North Central,2021-04-01,162
Abuja,North Central,2021-05-01,165
Abuja,North Central,2021-06-01,162
Abuja,North Central,2021-07-01,163.8
Abuja,North Central,2021-08-01,163.8
Abuja,North Central,2021-09-01,164.5
Abuja,North Central,2021-10-01,162.8
Abuja,North Central,2021-11-01,163.75
Abuja,North Central,2021-12-01,164.6
Abuja,North Central,2022-01-01,164.6
Abuja,North Central,2022-02-01,167.5
Abuja,North Central,2022-03-01,169
Abuja,North Central,2022-04-01,165.42
Abuja,North Central,2022-05-01,172.6
Abuja,North Central,2022-06-01,170
Abuja,North Central,2022-07-01,185.5
Abuja,North Central,2022-08-01,188
Abuja,North Central,2022-09-01,188.44
